"s","a","r","sp"
32428,5,-25,31933
31933,5,-25,31437
31437,5,-25,31441
31441,5,-25,30945
30945,5,-25,30949
30949,5,-25,30453
30453,5,-25,30456
30456,5,-25,30460
30460,5,99975,30463
25343,2,-100,24692
24692,3,-25,24692
24692,4,0,24692
24692,3,-25,24692
24692,2,-100,24692
24692,2,-100,24692
24692,2,-100,24191
24191,2,-100,24191
24191,2,-100,24190
24190,3,-25,24189
24189,3,-25,24189
24189,3,-25,24188
24188,4,0,24187
24187,3,-25,24187
24187,3,-25,24187
24187,2,-100,24186
24186,2,-100,24185
24185,3,-25,24185
24185,4,0,24184
24184,3,-25,24184
24184,3,-25,24184
24184,2,-100,24183
24183,5,-25,24683
24683,4,0,25183
25183,5,-25,25183
25183,6,-100,25684
25684,5,-25,26185
26185,3,-25,26186
26186,3,-25,26187
26187,3,-25,26688
26688,6,-100,27189
27189,6,-100,27191
27191,5,-25,27693
27693,6,-100,28195
28195,6,-100,28698
28698,3,-25,28700
28700,5,-25,28703
28703,4,0,28705
28705,4,0,28708
28708,5,-25,28711
28711,3,-25,28713
28713,4,0,28716
28716,6,-100,28718
28718,5,-25,28721
28721,3,-25,28723
28723,5,-25,28226
28226,4,0,28228
28228,4,0,27730
27730,5,-25,27732
27732,6,-100,27734
27734,6,-100,27736
27736,6,-100,27738
27738,4,0,27740
27740,3,-25,27241
27241,4,0,26742
26742,6,-100,26743
26743,5,-25,26244
26244,4,0,25745
25745,4,0,25245
25245,6,-100,25245
25245,5,-25,25245
25245,5,-25,24745
24745,4,0,24245
24245,3,-25,23744
23744,3,-25,23243
23243,5,-25,22741
22741,5,-25,22740
22740,5,-25,22738
22738,3,-25,22236
22236,3,-25,21734
21734,2,-100,20731
20731,4,0,20728
20728,2,-100,20225
20225,2,-100,19721
19721,2,-100,19217
19217,2,-100,18712
18712,4,0,18208
18208,2,-100,18203
18203,2,-100,17698
17698,4,0,17693
17693,5,-25,18189
18189,5,-25,18684
18684,5,-25,18680
18680,3,-25,19176
19176,5,-25,19172
19172,5,-25,20169
20169,2,-100,20166
20166,2,-100,20162
20162,4,0,20659
20659,2,-100,20656
20656,4,0,21154
21154,3,-25,21651
21651,4,0,22150
22150,5,-25,22648
22648,2,-100,23147
23147,5,-25,23646
23646,4,0,24646
24646,5,-25,25146
25146,4,0,25647
25647,6,-100,26648
26648,6,-100,27650
27650,5,-25,28152
28152,5,-25,29155
29155,3,-25,29158
29158,6,-100,30162
30162,6,-100,31166
31166,6,-100,31670
31670,6,-100,32175
32175,6,-100,33181
33181,3,-25,33187
33187,6,-100,33693
33693,3,-25,33699
33699,5,-25,33705
33705,5,-25,34211
34211,5,-25,34217
34217,5,-25,34224
34224,4,0,34230
34230,3,-25,33736
33736,6,-100,33741
33741,5,-25,33247
33247,3,-25,32752
32752,6,-100,32758
32758,6,-100,32263
32263,5,-25,31767
31767,4,0,31272
31272,6,-100,30776
30776,3,-25,30279
30279,4,0,29282
29282,3,-25,28285
28285,4,0,27786
27786,5,-25,27288
27288,5,-25,26289
26289,4,0,25789
25789,4,0,24789
24789,3,-25,23788
23788,2,-100,22787
22787,4,0,22285
22285,3,-25,21282
21282,2,-100,20279
20279,3,-25,19275
19275,2,-100,18270
18270,2,-100,17265
17265,5,-25,16759
16759,4,0,16253
16253,3,-25,15747
15747,4,0,15240
15240,4,0,14733
14733,4,0,14226
14226,2,-100,13718
13718,4,0,13711
13711,3,-25,13703
13703,3,-25,13195
13195,2,-100,13187
13187,2,-100,13178
13178,5,-25,13171
13171,4,0,13663
13663,4,0,14156
14156,4,0,14649
14649,3,-25,15142
15142,2,-100,15635
15635,4,0,16129
16129,2,-100,16624
16624,3,-25,17118
17118,3,-25,17613
17613,4,0,18609
18609,5,-25,19606
19606,5,-25,20603
20603,4,0,21600
21600,3,-25,22099
22099,5,-25,23097
23097,4,0,24097
24097,3,-25,25097
25097,6,-100,26098
26098,6,-100,27600
27600,3,-25,28102
28102,4,0,29105
29105,5,-25,30108
30108,3,-25,30612
30612,3,-25,31617
31617,5,-25,32622
32622,4,0,33128
33128,4,0,34134
34134,6,-100,35141
35141,3,-25,35648
35648,5,-25,36156
36156,6,-100,37164
37164,6,-100,37673
37673,5,-25,38182
38182,4,0,38691
38691,6,-100,39201
39201,3,-25,38710
38710,5,-25,39220
39220,4,0,38729
38729,4,0,38739
38739,4,0,38248
38248,6,-100,38257
38257,3,-25,37265
37265,5,-25,36774
36774,4,0,36281
36281,4,0,35789
35789,4,0,34795
34795,5,-25,34301
34301,4,0,33307
33307,6,-100,32812
32812,4,0,31817
31817,6,-100,31321
31321,3,-25,30325
30325,5,-25,29328
29328,4,0,28330
28330,4,0,27332
27332,6,-100,26833
26833,4,0,25834
25834,3,-25,24833
24833,5,-25,23833
23833,5,-25,23331
23331,5,-25,22329
22329,4,0,21327
21327,2,-100,20324
20324,2,-100,18819
18819,5,-25,18315
18315,4,0,17309
17309,5,-25,16304
16304,5,-25,15797
15797,2,-100,14790
14790,3,-25,13782
13782,3,-25,12774
12774,4,0,12265
12265,3,-25,11256
11256,4,0,10746
10746,3,-25,10236
10236,5,-25,9725
9725,5,-25,9715
9715,3,-25,9705
9705,3,-25,9194
9194,2,-100,9183
9183,3,-25,9173
9173,2,-100,9162
9162,5,-25,9652
9652,4,0,10642
10642,4,0,11132
11132,4,0,11623
11623,4,0,12615
12615,4,0,13107
13107,5,-25,14600
14600,5,-25,15593
15593,2,-100,16087
16087,5,-25,17082
17082,4,0,18077
18077,5,-25,19073
19073,5,-25,20070
20070,3,-25,21068
21068,4,0,22066
22066,2,-100,22564
22564,2,-100,23063
23063,5,-25,24563
24563,3,-25,25063
25063,5,-25,26564
26564,5,-25,27566
27566,6,-100,28569
28569,6,-100,30072
30072,3,-25,31077
31077,3,-25,31581
31581,3,-25,32586
32586,5,-25,33592
33592,5,-25,34599
34599,3,-25,35606
35606,3,-25,36114
36114,4,0,37122
37122,5,-25,37631
37631,4,0,38640
38640,3,-25,39150
39150,5,-25,39660
39660,6,-100,40671
40671,3,-25,40682
40682,5,-25,41193
41193,4,0,41204
41204,3,-25,41215
41215,4,0,41226
41226,5,-25,41237
41237,6,-100,41248
41248,5,-25,40759
40759,5,-25,40270
40270,4,0,39780
39780,4,0,38789
38789,3,-25,38298
38298,6,-100,37807
37807,3,-25,36315
36315,6,-100,35822
35822,3,-25,34829
34829,5,-25,33835
33835,4,0,33341
33341,4,0,32345
32345,5,-25,31350
31350,4,0,30353
30353,3,-25,29356
29356,4,0,28358
28358,4,0,27360
27360,5,-25,26861
26861,5,-25,25861
25861,4,0,24861
24861,4,0,23861
23861,4,0,22859
22859,2,-100,21857
21857,3,-25,20854
20854,4,0,19850
19850,2,-100,18346
18346,3,-25,17340
17340,2,-100,15834
15834,4,0,14827
14827,4,0,14320
14320,5,-25,13312
13312,2,-100,12303
12303,2,-100,10793
10793,2,-100,9782
9782,5,-25,9272
9272,3,-25,8260
8260,2,-100,7248
7248,2,-100,6736
6736,4,0,6223
6223,4,0,6210
6210,2,-100,5697
5697,3,-25,5683
5683,5,-25,6171
6171,4,0,6158
6158,4,0,6645
6645,2,-100,7133
7133,4,0,7622
7622,3,-25,8610
8610,4,0,9100
9100,2,-100,9589
9589,2,-100,10579
10579,4,0,11570
11570,3,-25,12061
12061,3,-25,13053
13053,3,-25,13546
13546,3,-25,14539
14539,2,-100,15032
15032,5,-25,16026
16026,4,0,17021
17021,2,-100,17516
17516,4,0,18011
18011,3,-25,19007
19007,3,-25,19504
19504,2,-100,25001
25001,2,-100,25001
25001,4,0,26001
26001,3,-25,26503
26503,6,-100,27504
27504,3,-25,28007
28007,3,-25,28509
28509,6,-100,29513
29513,3,-25,30516
30516,4,0,31021
31021,5,-25,32026
32026,6,-100,33031
33031,5,-25,34538
34538,4,0,35045
35045,6,-100,36553
36553,6,-100,37562
37562,3,-25,38571
38571,6,-100,40082
40082,3,-25,40593
40593,6,-100,42104
42104,6,-100,43117
43117,5,-25,44130
44130,4,0,44643
44643,3,-25,45157
45157,3,-25,45672
45672,3,-25,45686
45686,6,-100,46201
46201,3,-25,46215
46215,6,-100,46730
46730,4,0,46245
46245,6,-100,46259
46259,5,-25,45773
45773,4,0,45287
45287,4,0,44300
44300,3,-25,43313
43313,6,-100,42825
42825,5,-25,41837
41837,6,-100,41348
41348,3,-25,40358
40358,3,-25,39368
39368,5,-25,38377
38377,6,-100,37886
37886,6,-100,37394
37394,6,-100,36902
36902,5,-25,36410
36410,4,0,35417
35417,3,-25,34923
34923,5,-25,34430
34430,6,-100,34436
34436,5,-25,33942
33942,4,0,33448
33448,4,0,32953
32953,5,-25,32958
32958,6,99900,32964
25343,1,-225,24694
24694,1,-225,24694
24694,1,-225,24193
24193,1,-225,24193
24193,1,-225,24192
24192,1,-225,23691
23691,1,-225,23691
23691,1,-225,23189
23189,1,-225,23188
23188,1,-225,23187
23187,1,-225,23186
23186,1,-225,22684
22684,1,-225,22683
22683,1,-225,22681
22681,1,-225,22680
22680,1,-225,22678
22678,1,-225,22677
22677,1,-225,22675
22675,1,-225,22673
22673,1,-225,22672
22672,1,-225,22670
22670,1,-225,22669
22669,1,-225,22667
22667,1,-225,22666
22666,1,-225,22664
22664,1,-225,23163
23163,1,-225,23162
23162,1,-225,23161
23161,1,-225,23160
23160,1,-225,23659
23659,1,-225,23658
23658,1,-225,23657
23657,1,-225,24156
24156,1,-225,24156
24156,1,-225,24656
24656,1,-225,24655
24655,1,-225,24655
24655,1,-225,25155
25155,7,-225,25656
25656,7,-225,26657
26657,7,-225,27659
27659,7,-225,28161
28161,7,-225,29164
29164,7,-225,29668
29668,7,-225,30671
30671,7,-225,31176
31176,7,-225,31680
31680,7,-225,32686
32686,7,-225,33191
33191,7,-225,33197
33197,7,-225,33703
33703,7,-225,34209
34209,7,-225,34716
34716,7,-225,34722
34722,7,-225,34729
34729,7,-225,34736
34736,7,-225,34743
34743,7,-225,34749
34749,7,-225,34756
34756,7,-225,34263
34263,7,-225,34269
34269,7,-225,33775
33775,7,-225,33281
33281,7,-225,33286
33286,7,-225,32791
32791,7,-225,32296
32296,7,-225,31801
31801,7,-225,31305
31305,7,-225,30809
30809,7,-225,29812
29812,7,-225,29315
29315,7,-225,28818
28818,7,-225,28320
28320,7,-225,27822
27822,7,-225,26823
26823,7,-225,26324
26324,7,-225,25824
25824,7,-225,25324
25324,7,-225,24324
24324,1,-225,23323
23323,1,-225,21821
21821,1,-225,20818
20818,1,-225,19314
19314,1,-225,18309
18309,1,-225,17304
17304,1,-225,15798
15798,1,-225,14791
14791,1,-225,13783
13783,1,-225,12274
12274,1,-225,11265
11265,1,-225,10755
10755,1,-225,9745
9745,1,-225,8734
8734,1,-225,8222
8222,1,-225,7710
7710,1,-225,7198
7198,1,-225,7186
7186,1,-225,7174
7174,1,-225,7162
7162,1,-225,7150
7150,1,-225,7138
7138,1,-225,7626
7626,1,-225,8114
8114,1,-225,8603
8603,1,-225,9093
9093,1,-225,9582
9582,1,-225,10572
10572,1,-225,11063
11063,1,-225,11554
11554,1,-225,12045
12045,1,-225,13037
13037,1,-225,13530
13530,1,-225,14022
14022,1,-225,14515
14515,1,-225,15008
15008,1,-225,15502
15502,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,1,-225,24720
24720,1,-225,24219
24219,1,-225,23718
23718,1,-225,23217
23217,1,-225,22715
22715,1,-225,22213
22213,1,-225,21711
21711,1,-225,21209
21209,1,-225,21206
21206,1,-225,20703
20703,1,-225,20200
20200,1,-225,20197
20197,1,-225,19693
19693,1,-225,19689
19689,1,-225,19686
19686,1,-225,19182
19182,1,-225,19178
19178,1,-225,19174
19174,1,-225,19170
19170,1,-225,19167
19167,1,-225,19663
19663,1,-225,19659
19659,1,-225,19656
19656,1,-225,19652
19652,1,-225,20149
20149,1,-225,20146
20146,1,-225,20643
20643,1,-225,21140
21140,1,-225,21138
21138,1,-225,21635
21635,1,-225,22133
22133,1,-225,22132
22132,1,-225,22630
22630,1,-225,23129
23129,1,-225,23628
23628,1,-225,24127
24127,1,-225,24627
24627,1,-225,24627
24627,1,-225,25127
25127,7,-225,26128
26128,7,-225,27130
27130,7,-225,28632
28632,7,-225,29635
29635,7,-225,30639
30639,7,-225,31644
31644,7,-225,32149
32149,7,-225,33155
33155,7,-225,34161
34161,7,-225,34668
34668,7,-225,35675
35675,7,-225,36183
36183,7,-225,36691
36691,7,-225,37199
37199,7,-225,37708
37708,7,-225,38217
38217,7,-225,38226
38226,7,-225,38235
38235,7,-225,38244
38244,7,-225,38253
38253,7,-225,38262
38262,7,-225,37771
37771,7,-225,37279
37279,7,-225,37288
37288,7,-225,36795
36795,7,-225,36303
36303,7,-225,35310
35310,7,-225,34817
34817,7,-225,34323
34323,7,-225,33829
33829,7,-225,33335
33335,7,-225,32340
32340,7,-225,31844
31844,7,-225,31349
31349,7,-225,30352
30352,7,-225,29856
29856,7,-225,29359
29359,7,-225,28861
28861,7,-225,27863
27863,7,-225,27365
27365,7,-225,26866
26866,7,-225,26367
26367,7,-225,25867
25867,7,-225,24867
24867,1,-225,23866
23866,1,-225,22364
22364,1,-225,21362
21362,1,-225,19858
19858,1,-225,18854
18854,1,-225,17349
17349,1,-225,16343
16343,1,-225,14836
14836,1,-225,13828
13828,1,-225,12319
12319,1,-225,11310
11310,1,-225,9799
9799,1,-225,8788
8788,1,-225,7776
7776,1,-225,6764
6764,1,-225,5750
5750,1,-225,4737
4737,1,-225,4222
4222,1,-225,3708
3708,1,-225,3193
3193,1,-225,3178
3178,1,-225,3163
3163,1,-225,3148
3148,1,-225,3133
3133,1,-225,3619
3619,1,-225,4105
4105,1,-225,4591
4591,1,-225,5078
5078,1,-225,6065
6065,1,-225,6552
6552,1,-225,7040
7040,1,-225,8029
8029,1,-225,8517
8517,1,-225,9006
9006,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,3,-25,24697
24697,3,-25,24697
24697,3,-25,24697
24697,3,-25,24697
24697,3,-25,24696
24696,3,-25,24696
24696,3,-25,24196
24196,3,-25,24195
24195,3,-25,24195
24195,3,-25,24195
24195,3,-25,24194
24194,3,-25,24194
24194,3,-25,24193
24193,3,-25,24192
24192,3,-25,24192
24192,3,-25,24191
24191,3,-25,24191
24191,3,-25,24190
24190,3,-25,24189
24189,3,-25,24189
24189,3,-25,24188
24188,3,-25,24188
24188,3,-25,24187
24187,3,-25,24187
24187,3,-25,24186
24186,3,-25,24186
24186,3,-25,24185
24185,3,-25,24185
24185,3,-25,24184
24184,3,-25,24684
24684,3,-25,24684
24684,3,-25,24683
24683,3,-25,24683
24683,3,-25,24683
24683,3,-25,24683
24683,3,-25,24683
24683,3,-25,25183
25183,5,-25,25183
25183,5,-25,25684
25684,5,-25,26185
26185,5,-25,26686
26686,5,-25,26687
26687,5,-25,27189
27189,5,-25,27691
27691,5,-25,27693
27693,5,-25,28195
28195,5,-25,28697
28697,5,-25,28700
28700,5,-25,28703
28703,5,-25,29205
29205,5,-25,29208
29208,5,-25,29211
29211,5,-25,29714
29714,5,-25,29718
29718,5,-25,29721
29721,5,-25,29724
29724,5,-25,29727
29727,5,-25,29230
29230,5,-25,29233
29233,5,-25,29236
29236,5,-25,29239
29239,5,-25,28741
28741,5,-25,28744
28744,5,-25,28246
28246,5,-25,28248
28248,5,-25,27750
27750,5,-25,27252
27252,5,-25,27253
27253,5,-25,26754
26754,5,-25,26255
26255,5,-25,26256
26256,5,-25,25756
25756,5,-25,25257
25257,5,-25,24757
24757,3,-25,24256
24256,3,-25,23755
23755,3,-25,22754
22754,3,-25,22252
22252,3,-25,21749
21749,3,-25,20747
20747,3,-25,20243
20243,3,-25,19740
19740,3,-25,19236
19236,3,-25,18732
18732,3,-25,18227
18227,3,-25,17722
17722,3,-25,17717
17717,3,-25,17212
17212,3,-25,17206
17206,3,-25,16701
16701,3,-25,16695
16695,3,-25,16689
16689,3,-25,16684
16684,3,-25,16678
16678,3,-25,16672
16672,3,-25,17167
17167,3,-25,17162
17162,3,-25,17657
17657,3,-25,17652
17652,3,-25,18147
18147,3,-25,18643
18643,3,-25,19139
19139,3,-25,19635
19635,3,-25,20132
20132,3,-25,20629
20629,3,-25,21127
21127,3,-25,21625
21625,3,-25,22623
22623,3,-25,23122
23122,3,-25,23621
23621,3,-25,24120
24120,3,-25,25120
25120,5,-25,25621
25621,5,-25,26622
26622,5,-25,27624
27624,5,-25,28627
28627,5,-25,29630
29630,5,-25,30634
30634,5,-25,31138
31138,5,-25,32143
32143,5,-25,33149
33149,5,-25,33655
33655,5,-25,34161
34161,5,-25,35168
35168,5,-25,35675
35675,5,-25,36183
36183,5,-25,36191
36191,5,-25,36699
36699,5,-25,37207
37207,5,-25,37215
37215,5,-25,37224
37224,5,-25,37232
37232,5,-25,37240
37240,5,-25,36748
36748,5,-25,36256
36256,5,-25,36264
36264,5,-25,35771
35771,5,-25,35278
35278,5,-25,34785
34785,5,-25,34291
34291,5,-25,33297
33297,5,-25,32802
32802,5,-25,32307
32307,5,-25,31311
31311,5,-25,30815
30815,5,-25,29818
29818,5,-25,29321
29321,5,-25,28323
28323,5,-25,27325
27325,5,-25,26826
26826,5,-25,25826
25826,5,-25,25327
25327,5,-25,24326
24326,3,-25,23325
23325,3,-25,22323
22323,3,-25,21320
21320,3,-25,19817
19817,3,-25,18813
18813,3,-25,17808
17808,3,-25,16802
16802,3,-25,15796
15796,3,-25,14789
14789,3,-25,13781
13781,3,-25,12773
12773,3,-25,12264
12264,3,-25,11255
11255,3,-25,10745
10745,3,-25,10234
10234,3,-25,9724
9724,3,-25,9213
9213,3,-25,8702
8702,3,-25,8691
8691,3,-25,8680
8680,3,-25,8669
8669,3,-25,9158
9158,3,-25,9148
9148,3,-25,9637
9637,3,-25,10127
10127,3,-25,10618
10618,3,-25,11609
11609,3,-25,12100
12100,3,-25,13092
13092,3,-25,13584
13584,3,-25,14577
14577,3,-25,15070
15070,3,-25,16064
16064,3,-25,17059
17059,3,-25,17554
17554,3,-25,18550
18550,3,-25,19046
19046,3,-25,20043
20043,3,-25,20540
20540,3,-25,21538
21538,3,-25,22036
22036,3,-25,23035
23035,3,-25,23534
23534,3,-25,24534
24534,3,-25,25034
25034,5,-25,26035
26035,5,-25,27036
27036,5,-25,28539
28539,5,-25,29542
29542,5,-25,30546
30546,5,-25,31551
31551,5,-25,32556
32556,5,-25,34062
34062,5,-25,35069
35069,5,-25,36077
36077,5,-25,37085
37085,5,-25,38095
38095,5,-25,39605
39605,5,-25,40615
40615,5,-25,41627
41627,5,-25,42138
42138,5,-25,43151
43151,5,-25,44164
44164,5,-25,44677
44677,5,-25,45191
45191,5,-25,45205
45205,5,-25,45719
45719,5,-25,45733
45733,5,-25,45247
45247,5,-25,45261
45261,5,-25,44774
44774,5,-25,44287
44287,5,-25,43800
43800,5,-25,42812
42812,5,-25,42324
42324,5,-25,41335
41335,5,-25,40846
40846,5,-25,39856
39856,5,-25,38865
38865,5,-25,38374
38374,5,-25,37383
37383,5,-25,36891
36891,5,-25,36398
36398,5,-25,35406
35406,5,-25,34912
34912,5,-25,34419
34419,5,-25,33925
33925,5,-25,33431
33431,5,-25,33436
33436,5,-25,32942
32942,5,-25,32947
32947,5,-25,32452
32452,5,-25,32457
32457,5,99975,32462
25343,1,-225,24714
24714,3,-25,24213
24213,7,-225,24713
24713,4,0,24213
24213,4,0,24212
24212,6,-100,24712
24712,7,-225,24712
24712,7,-225,25212
25212,2,-100,24712
24712,2,-100,24211
24211,2,-100,23710
23710,1,-225,23709
23709,6,-100,23709
23709,4,0,23708
23708,5,-25,23707
23707,2,-100,23706
23706,6,-100,23705
23705,2,-100,23704
23704,5,-25,23703
23703,7,-225,24203
24203,6,-100,24202
24202,2,-100,24202
24202,7,-225,24201
24201,1,-225,24201
24201,6,-100,24700
24700,4,0,24700
24700,3,-25,24200
24200,2,-100,24199
24199,5,-25,24199
24199,6,-100,24699
24699,2,-100,24698
24698,5,-25,24698
24698,1,-225,24698
24698,5,-25,24698
24698,3,-25,24697
24697,3,-25,24697
24697,2,-100,24197
24197,5,-25,24696
24696,3,-25,24696
24696,5,-25,24696
24696,5,-25,25196
25196,4,0,25196
25196,7,-225,25697
25697,5,-25,25697
25697,6,-100,26198
26198,5,-25,26199
26199,1,-225,26200
26200,6,-100,26701
26701,4,0,26702
26702,2,-100,26203
26203,3,-25,26204
26204,6,-100,26705
26705,2,-100,26206
26206,3,-25,26206
26206,2,-100,25707
25707,4,0,25707
25707,2,-100,25208
25208,4,0,25208
25208,4,0,25208
25208,3,-25,25208
25208,6,-100,25208
25208,6,-100,25709
25709,3,-25,25209
25209,7,-225,25709
25709,3,-25,25710
25710,7,-225,25710
25710,3,-25,25711
25711,2,-100,25211
25211,4,0,25211
25211,4,0,25211
25211,6,-100,25211
25211,6,-100,25711
25711,2,-100,25212
25212,4,0,25212
25212,3,-25,24712
24712,2,-100,24211
24211,7,-225,24711
24711,7,-225,24711
24711,4,0,24711
24711,3,-25,24711
24711,1,-225,24210
24210,2,-100,23709
23709,2,-100,23708
23708,5,-25,23707
23707,2,-100,23206
23206,3,-25,23205
23205,1,-225,22703
22703,2,-100,22702
22702,1,-225,22200
22200,5,-25,22198
22198,2,-100,22196
22196,6,-100,22694
22694,4,0,22693
22693,5,-25,23192
23192,3,-25,22690
22690,6,-100,23189
23189,5,-25,23688
23688,1,-225,23687
23687,2,-100,23686
23686,1,-225,23185
23185,7,-225,23685
23685,2,-100,23684
23684,3,-25,23683
23683,1,-225,23682
23682,4,0,24182
24182,2,-100,24181
24181,2,-100,23680
23680,4,0,24180
24180,2,-100,24179
24179,2,-100,24178
24178,2,-100,24178
24178,2,-100,24177
24177,2,-100,24177
24177,6,-100,24676
24676,1,-225,24676
24676,3,-25,24676
24676,1,-225,24676
24676,4,0,25176
25176,1,-225,25176
25176,2,-100,25176
25176,1,-225,25176
25176,7,-225,25677
25677,6,-100,26177
26177,6,-100,26679
26679,6,-100,27681
27681,6,-100,28183
28183,4,0,28185
28185,5,-25,28688
28688,5,-25,29190
29190,4,0,29193
29193,1,-225,29196
29196,2,-100,28699
28699,5,-25,29201
29201,4,0,29204
29204,4,0,29207
29207,4,0,29210
29210,5,-25,29213
29213,5,-25,29216
29216,6,-100,29219
29219,1,-225,28721
28721,6,-100,29224
29224,4,0,28727
28727,4,0,28729
28729,2,-100,28232
28232,5,-25,27734
27734,4,0,27735
27735,6,-100,27737
27737,6,-100,27739
27739,5,-25,27241
27241,4,0,27242
27242,1,-225,26243
26243,2,-100,25743
25743,3,-25,25243
25243,4,0,24743
24743,4,0,24243
24243,7,-225,24242
24242,2,-100,23241
23241,2,-100,22739
22739,5,-25,22738
22738,2,-100,21735
21735,4,0,21733
21733,5,-25,21231
21231,5,-25,21228
21228,7,-225,21225
21225,3,-25,20723
20723,3,-25,20720
20720,7,-225,20717
20717,5,-25,20714
20714,3,-25,20711
20711,6,-100,20708
20708,7,-225,21205
21205,6,-100,21203
21203,7,-225,21700
21700,3,-25,21698
21698,2,-100,21196
21196,4,0,21193
21193,7,-225,21691
21691,1,-225,21689
21689,2,-100,21686
21686,1,-225,21184
21184,1,-225,21182
21182,6,-100,21679
21679,7,-225,22678
22678,2,-100,22676
22676,5,-25,22675
22675,3,-25,23173
23173,3,-25,23172
23172,1,-225,23171
23171,1,-225,23170
23170,4,0,23669
23669,2,-100,23668
23668,5,-25,24168
24168,5,-25,24668
24668,7,-225,25668
25668,6,-100,26169
26169,2,-100,26170
26170,7,-225,27172
27172,1,-225,27173
27173,6,-100,27675
27675,5,-25,28177
28177,1,-225,28179
28179,4,0,28682
28682,3,-25,28684
28684,4,0,28687
28687,5,-25,29190
29190,3,-25,29193
29193,1,-225,29195
29195,4,0,29198
29198,6,-100,29701
29701,5,-25,29705
29705,7,-225,30208
30208,2,-100,29711
29711,6,-100,29715
29715,6,-100,30218
30218,7,-225,30222
30222,5,-25,30225
30225,5,-25,30229
30229,6,-100,30232
30232,7,-225,30236
30236,1,-225,29739
29739,5,-25,29242
29242,5,-25,29245
29245,1,-225,28248
28248,5,-25,28250
28250,3,-25,27751
27751,3,-25,26753
26753,5,-25,26754
26754,4,0,26254
26254,5,-25,25755
25755,7,-225,25255
25255,2,-100,24755
24755,4,0,24254
24254,2,-100,23253
23253,2,-100,22251
22251,5,-25,22250
22250,6,-100,21747
21747,4,0,21745
21745,2,-100,20742
20742,1,-225,20239
20239,4,0,19735
19735,1,-225,19231
19231,7,-225,19227
19227,5,-25,19223
19223,2,-100,18219
18219,4,0,18214
18214,5,-25,18209
18209,3,-25,18205
18205,6,-100,18700
18700,7,-225,18696
18696,1,-225,18692
18692,4,0,18688
18688,5,-25,19184
19184,1,-225,19180
19180,2,-100,19175
19175,4,0,19172
19172,7,-225,19668
19668,1,-225,20165
20165,4,0,20162
20162,2,-100,20659
20659,5,-25,21156
21156,5,-25,21654
21654,4,0,22152
22152,6,-100,23151
23151,6,-100,24151
24151,2,-100,24150
24150,3,-25,24650
24650,6,-100,25651
25651,2,-100,25651
25651,6,-100,26652
26652,7,-225,27654
27654,4,0,28157
28157,5,-25,28659
28659,5,-25,29662
29662,2,-100,29665
29665,3,-25,29669
29669,2,-100,29672
29672,2,-100,29676
29676,7,-225,30679
30679,3,-25,30683
30683,5,-25,31188
31188,6,-100,31692
31692,6,-100,32197
32197,1,-225,31702
31702,6,-100,32207
32207,6,-100,32712
32712,4,0,32217
32217,6,-100,32722
32722,4,0,32227
32227,3,-25,32232
32232,3,-25,31736
31736,6,-100,31741
31741,1,-225,30745
30745,1,-225,30248
30248,4,0,29752
29752,7,-225,29255
29255,1,-225,28757
28757,5,-25,28259
28259,6,-100,28262
28262,7,-225,27763
27763,5,-25,27265
27265,1,-225,26266
26266,2,-100,25266
25266,7,-225,25266
25266,3,-25,24266
24266,4,0,23765
23765,4,0,23264
23264,7,-225,22762
22762,3,-25,22260
22260,6,-100,21758
21758,2,-100,21256
21256,6,-100,20753
20753,6,-100,20750
20750,7,-225,20247
20247,2,-100,19743
19743,4,0,19239
